class_labels,query
"['others', 'others']",treble popular reed
['others'],compatible ink cartridges
"['makeup, perfume, beauty tools and essential oils']",check new look facial cream
"['others', 'others', 'others', 'others', 'others']",royal commemorative stamp
"['others', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'others']",calendula baby shower gel
['furniture'],domestic folding table
"['makeup, perfume, beauty tools and essential oils']",chamomile beauty salon care suit
"['accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'human face']",hypoallergenic earrings
"['others', 'others', 'others']",produce special soy
"['others', 'others', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'others', 'others', 'others']",metalworking mini hammer
"['others', 'others']",professional feather brand beauty tools
"['others', 'others']",original activities for the core
['others'],intermittent power
"['others', 'others']",crown exercise equipment
"['others', 'toys', 'toys', 'toys', 'toys']",mario 3ds game
"['others', 'human face']",queen doll accessories
"['others', 'others', 'furniture', 'others', 'others']",living room personality lamps
"['others', 'others', 'others', 'others']",goddess chinese board games card
['others'],large flow power pump
"['makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils']",packaging beauty tools
"['makeup, perfume, beauty tools and essential oils', 'others', 'makeup, perfume, beauty tools and essential oils', 'others', 'others', 'others', 'makeup, perfume, beauty tools and essential oils', 'others', 'others', 'others']",security temperament nail makeup
"['others', 'others', 'others']",factory cap beauty tools
['others'],non-slip sticky sweat band
"['others', 'others', 'others', 'others', 'others']",shop books
['others'],breathable deodorant insole
['others'],portable thermometer
"['others', 'others']",outer diameter inner diameter of bearing
"['shoes', 'top clothes (coat, jacket, shirt, etc.)']",cotton children's underwear suit
"['others', 'top clothes (coat, jacket, shirt, etc.)', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'human face', 'bottom clothes (trousers, pants, etc.)']",personally charm collection
"['others', 'others', 'others', 'others', 'others']",original fashion glasses
['others'],2019 luzhou tie guan yin
['others'],scraping plates
"['human face', 'others', 'human face', 'human face', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'others', 'human face', 'human face', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'human face', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'human face', 'others', 'human face', 'human face', 'human face', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)']",classic famous cd
['others'],strong alarm
['others'],genuine music books
"['shoes', 'shoes']",leather ms. slippers
"['others', 'others']",high quality bao le flux
"['others', 'others', 'others']",a product langhao brush
"['others', 'others']",aircraft carrier model toys
"['others', 'others', 'toys']",straight-shaped factory thermocouple
"['bottom clothes (trousers, pants, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'shoes']",men's cotton home pants
"['makeup, perfume, beauty tools and essential oils', 'others']",whitening facial cream
['shoes'],qingdao double star a pedal casual shoes
['others'],cotton foot mop head
"['others', 'others', 'others']",domestic anti-hot mat
['others'],ms. cup
"['others', 'others', 'human face', 'top clothes (coat, jacket, shirt, etc.)', 'others']",conditioning ian van cd
['others'],theory books
"['others', 'others']",houses books
['others'],picking books
"['others', 'others', 'others']",animation books
"['others', 'others']",culture books
"['top clothes (coat, jacket, shirt, etc.)', 'human face']",picking electronic books
['others'],picking books
['others'],water books
['others'],picking books
['others'],picking books
['others'],taste pastry
"['toys', 'others']",electronic picking books
['others'],showdown books
['others'],practical books
"['others', 'others', 'others']",today books
"['others', 'others', 'others']",thick moving garbage bags
"['others', 'others', 'others', 'furniture', 'others']",cotton satin dust cover
['others'],flavor tea
"['others', 'others']",name band edge stamp
"['others', 'others', 'others']",leopard lace underwear
"['others', 'makeup, perfume, beauty tools and essential oils', 'others', 'others']",orr bin zhen yan cream
"['toys', 'others', 'others']",swing baby tumbler
"['others', 'others', 'others']",genuine cd
['others'],deep-water bait
['others'],pure shock absorber
['others'],five-star vitamin
"['others', 'others', 'others']",waterproof polyester fabric shower curtain
"['others', 'others']",desktop universal bracket
['others'],giant picking books
['others'],picking books
"['top clothes (coat, jacket, shirt, etc.)']",music picking journals
"['luggage, leather goods']",embroidery i love keychain
['others'],electrical books
['others'],classic picking books
"['others', 'others']",work collection books
"['others', 'others']",12th books
['others'],outside books
"['snacks, nuts, liquor and tea', 'others']",carved round signs
"['accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'others']",classical bride hair accessories
['others'],multi-purpose socket
"['human face', 'human face', 'others']",genuine economic version cd
"['others', 'others']",inventory movie around
"['others', 'snacks, nuts, liquor and tea']",homemade spicy sausage
"['snacks, nuts, liquor and tea', 'others', 'human face', 'top clothes (coat, jacket, shirt, etc.)']",independent bags milk tea
['others'],silk quality traditional pillow
"['others', 'others']",luxury nine ball pool table
['others'],water-soluble drawing pencil
['others'],sports oil thermometer
"['human face', 'human face', 'others', 'human face', 'human face', 'human face', 'top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)']",popular band collection
"['makeup, perfume, beauty tools and essential oils', 'top clothes (coat, jacket, shirt, etc.)', 'makeup, perfume, beauty tools and essential oils', 'others', 'human face', 'human face', 'human face', 'human face']",hengrun fresh facial cream
"['others', 'others', 'others']",camping outdoor grill
['others'],thick stainless steel sink
['bottle drink'],exotic oil supplement ink
"['others', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'others', 'others']",charcoal bamboo carbon fiber pants
['others'],accessories silver wire
['others'],symphony music books
['others'],crown transitions glasses
['others'],to carry shoulder storage box
"['luggage, leather goods', 'others', 'others']",british specifications paint pen
"['furniture', 'others']",widening fabric sofa cover
['others'],no. food bags
"['others', 'others', 'others', 'others', 'others', 'others', 'others']",portable waist and abdomen moxibustion
['others'],small thick envelope
"['top clothes (coat, jacket, shirt, etc.)', 'human face', 'others']",graffiti album cd
"['others', 'others', 'others']",portable 2019 box
"['accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)']",flowers hair accessories
"['others', 'others', 'others']",genuine books
"['others', 'others', 'others', 'others', 'others']",stainless steel japanese-style storage box
"['luggage, leather goods', 'luggage, leather goods']",counter genuine high school students back bag
"['top clothes (coat, jacket, shirt, etc.)', 'others']",hd romeo cd
['others'],handmade fashion hat
"['others', 'others', 'others']",in addition to algae adsorption aquarium equipment
['others'],crown large game around
['others'],ultra-light super-hard fishing rod fishing
['others'],has been framed famous paintings calligraphy
"['snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea']",flavor specialty cashew
['others'],pleasant square umbrella
"['others', 'others', 'others', 'others', 'others']",elf cross-stitch
"['human face', 'others']",genuine cd
['shoes'],breathable deodorant protective shoes
['others'],photoelectric original sensor
"['others', 'others']",original package integrated circuit
"['others', 'others']",continuous ink supply system
"['others', 'skirt & dress']",photographed korean version of vest
"['others', 'others', 'others']",noise earplugs
"['others', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea']",new clothes spiced beef
"['others', 'others']",in the workplace business books
"['others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'shoes', 'others']",baking round mold
['others'],picking books
['others'],republic of china books
['others'],principles of indoor books
"['others', 'others', 'others']",heroine books
"['human face', 'others', 'human face', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'human face', 'human face', 'human face', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)']",genuine cd
"['others', 'others']",genuine collection books
"['others', 'shoes', 'others', 'others']",classical green ancient handle
"['others', 'others']",bathroom square shower accessories
"['others', 'snacks, nuts, liquor and tea']",spicy specialty chili
"['others', 'others', 'others']",throw pole fishing bracket
"['others', 'makeup, perfume, beauty tools and essential oils', 'others', 'others', 'others']",hao color ink cartridges
"['toys', 'shoes']",retro xinyuan gear
"['others', 'others']",leather handmade hair accessories
"['others', 'others']",craft cloisonne
"['makeup, perfume, beauty tools and essential oils']",imported lotion
"['others', 'others']",in high-speed books
"['others', 'others']",circuit concealed distribution box
"['others', 'others']",genuine cd
"['others', 'others', 'others', 'others', 'others', 'others', 'others']",large capacity creative name card holder name card holder
"['luggage, leather goods', 'luggage, leather goods', 'luggage, leather goods']",students disney mickey back bag
"['others', 'others']",custom christmas stamp
"['top clothes (coat, jacket, shirt, etc.)', 'human face', 'others']",bride cd
"['others', 'others', 'toys']",round rubber ball
"['others', 'others']",flash pet necklaces
"['toys', 'others', 'shoes', 'others']",plush toys
"['others', 'others']",finishing plain weave storage box
"['toys', 'others', 'others', 'others']",cotton wedding towel
"['makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils']",dynamic gel
"['others', 'others', 'others']",ying wang earth shock absorber
"['toys', 'toys', 'toys']",children's four teaching equipment
"['others', 'human face']",picking books
"['others', 'others', 'digital supplies']",business machine keyboard
['others'],milliohms resistance
"['others', 'others', 'others']",to commemorate the friendship brand table tennis
['others'],chinese and foreign baby cd
"['makeup, perfume, beauty tools and essential oils']",2021 oil lotion
"['others', 'others', 'furniture', 'furniture', 'others']",living room rattan folding screen
"['others', 'shoes', 'others', 'others', 'others']",round cold terminal
"['others', 'others']",dc security filter
"['others', 'others']",natural coccidia pet food
['others'],original store integrated circuit
"['top clothes (coat, jacket, shirt, etc.)']",genuine books
"['others', 'others']",crown original chip
"['shoes', 'luggage, leather goods']",casual combed cotton socks
"['others', 'others']",food simple books
"['others', 'toys', 'toys', 'toys', 'others', 'toys', 'human face']",children's encounter electric toys
['others'],grip color ping-pong floor
['others'],high-quality sensor
"['top clothes (coat, jacket, shirt, etc.)']",waist slim down jacket
['others'],luminous flux journals
"['others', 'shoes', 'others', 'others']",christmas cute candy
['others'],moisturizing smd mask
['others'],food commercial plastic wrap
"['others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others']",adult intelligence educational toys
"['toys', 'others', 'snacks, nuts, liquor and tea', 'human face', 'top clothes (coat, jacket, shirt, etc.)']",character cross-stitch
"['others', 'furniture', 'others']",multi-storage shelf
"['accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'human face', 'luggage, leather goods', 'top clothes (coat, jacket, shirt, etc.)', 'human face']",casual autumn paragraph shirt
"['toys', 'toys', 'toys', 'others', 'others', 'others', 'others', 'shoes', 'others', 'others', 'others']",imported luminous puzzle
"['others', 'others', 'others']",back velvet brushed grinder
"['makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils']",soothing cleansing
['others'],food salty peanut
['others'],angular contact bearing
['others'],korean imported hair accessories
"['makeup, perfume, beauty tools and essential oils']",teacher mousse care suit
['others'],antique wood aquarium fish
['others'],function double ball radiator
"['others', 'toys', 'others', 'others', 'others', 'others']",copy hd painting
['others'],ruled necklaces
"['others', 'others', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea']",specialty seaweed kelp
"['makeup, perfume, beauty tools and essential oils', 'others', 'others']",painter special oil painting paint
"['others', 'others']",limited edition authorized bracelet
['others'],study business home ornaments
"['others', 'others', 'makeup, perfume, beauty tools and essential oils', 'others']",finesse original welding head
"['shoes', 'others', 'others', 'others']",sales magnetic motor
"['others', 'others']",out after a green tea
"['others', 'others', 'digital supplies']",microcontroller
['others'],probe wireless alarm
['others'],small size automation power
['others'],genuine collection books
"['others', 'others', 'others', 'others']",taoist embroidery
"['others', 'others']",5 no. handmade accessories
"['toys', 'toys', 'others', 'others', 'toys']",non-woven handmade sewing suit
"['others', 'others']",unit cold water journals
"['others', 'others']",baby ears cotton
"['others', 'others']",kitchen attempts to prevent sink accessories
"['others', 'others']",picking seaside books
"['others', 'others', 'others']",acrylic shelf
['others'],domestic storage box
"['makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils']",beauty water care suit
"['others', 'others', 'others', 'others']",engineering books
['others'],senior hui sheng pudding powder
"['shoes', 'shoes', 'shoes', 'others', 'shoes', 'shoes']",men's shallow mouth socks
"['others', 'others', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'others', 'others']",original imported bride hair accessories
"['others', 'others']",three sheep catty bags
['others'],material tool cabinet
['others'],professional men's lotion
